"_id",Sensor No,Temp,Time
60b49ad973f8933877ba1c8e,12,27.0727,2021-05-31 11:14:17
60b49addc16689f6a7474f62,12,27.0727,2021-05-31 11:14:21
60b49ae031df788cdf9e9c46,12,27.0727,2021-05-31 11:14:24
60b49ae4e7707fc080f2de48,12,27.0727,2021-05-31 11:14:28
60b49ae871c5ff7eedb57589,12,27.0727,2021-05-31 11:14:32
60b49aecc06612e095a390a8,12,27.0727,2021-05-31 11:14:36
60b49aef4808a866fadf274c,12,27.0727,2021-05-31 11:14:39
60b49af29cef184fa34c3b85,12,27.0727,2021-05-31 11:14:42
60b49af5c746c01e5568f478,12,27.0727,2021-05-31 11:14:45
60b49af812d638e0c8fda549,12,27.0727,2021-05-31 11:14:48
60b49afbace83c2e8ce32c87,12,27.0727,2021-05-31 11:14:51
60b49afd2a00f5a087e5cb44,12,27.0727,2021-05-31 11:14:53
60b49bb8f4aa9eb08c2c5a9a,12,27.0727,2021-05-31 11:18:00
60b49bbdff3f71376eb862ce,12,27.0727,2021-05-31 11:18:05
60b49bc2ea009b5b2fd93936,12,27.0727,2021-05-31 11:18:10
60b49bc6a3eb79700f05ce8f,12,27.0727,2021-05-31 11:18:14
60b49bcafefe43fb341e4640,12,27.0727,2021-05-31 11:18:18
60b49bcedd7ed41c4994f586,12,27.0727,2021-05-31 11:18:22
60b49bd2752a4e7a65a1b6b2,12,27.0727,2021-05-31 11:18:26
60b49bd59842c6a93b7c736a,12,27.0727,2021-05-31 11:18:29
60b49bd926cbe85ed7ac3939,12,27.0727,2021-05-31 11:18:33
60b49bdc1225b42b8f0e7cbe,12,27.0727,2021-05-31 11:18:36
60b49bdf7378908853b45495,12,27.0727,2021-05-31 11:18:39
60b49be261f61ac78d497b00,12,27.0727,2021-05-31 11:18:42
60b49be42bb536a9046e3fb4,12,27.0727,2021-05-31 11:18:44
60b49be7ef1471292794bba7,12,27.0727,2021-05-31 11:18:47
60b49beaa6c985f250499d01,12,27.0727,2021-05-31 11:18:50
60b49bed2afa1c21bec7a9de,12,27.0727,2021-05-31 11:18:53
60b49bf07f5fab1b74f9a184,12,27.0727,2021-05-31 11:18:56
60b49bf3876b6d2b30016beb,12,27.0727,2021-05-31 11:18:59
60b49c29cf80f646dc82e1bd,12,27.0727,2021-05-31 11:19:53
60b49c2db67d0e9b16640896,12,27.0727,2021-05-31 11:19:57
60b49c6a8b03aaef33bce78e,12,27.0727,2021-05-31 11:20:58
60b49c71dce830877dbd9aeb,12,27.0727,2021-05-31 11:21:05
60b49c93080c4c8e5c3fcd34,12,27.0727,2021-05-31 11:21:39
60b49ca8b15cbb39eae666e1,12,27.0727,2021-05-31 11:22:00
60b49ce5004cdb40be50193b,12,27.0727,2021-05-31 11:23:01
60b49cfee4acc901f3b36a7a,12,27.0727,2021-05-31 11:23:26
60b49d053fb6c5bac915ceb7,12,27.0727,2021-05-31 11:23:33
60b49d134c824e3aba829508,12,27.0727,2021-05-31 11:23:47
60b49d1b09244beaffb398f4,12,27.0727,2021-05-31 11:23:55
60b49d96510f69f662d89dca,12,27.0727,2021-05-31 11:25:58
60b49d99786d74e4a319941b,12,27.0727,2021-05-31 11:26:01
60b49d9cdcfede10cf225331,12,27.0727,2021-05-31 11:26:04
60b49d9f3e9c91879224b397,12,27.0727,2021-05-31 11:26:07
60b49dedcd9fa21db37d0e4d,12,27.0727,2021-05-31 11:27:25
60b49e1399de6892bb8814e8,12,27.0727,2021-05-31 11:28:03
60b49ec8ae08e80d31dbde78,12,27.0727,2021-05-31 11:31:04
60b49edc36644efd92feeb22,12,27.0727,2021-05-31 11:31:24
60b49f03b05c819334ddd56d,12,27.0727,2021-05-31 11:32:02
60b49f313e265e3911c3900a,12,27.0727,2021-05-31 11:32:49
60b49f4b4475dd1417226f70,12,27.0727,2021-05-31 11:33:15
60b49fd65b65b228f96b571b,12,27.1392,2021-05-31 11:35:34
60b4a1132db3020d2c6d912f,12,27.1392,2021-05-31 11:40:51
60b4a1172db3020d2c6d9162,12,27.1392,2021-05-31 11:40:55
60b4a11a2db3020d2c6d9195,12,27.1392,2021-05-31 11:40:58
60b4a11e2db3020d2c6d91c8,12,27.1392,2021-05-31 11:41:02
60b4a1212db3020d2c6d91fb,12,27.1392,2021-05-31 11:41:05
60b4a132be7d7e98ebef25ae,12,27.1392,2021-05-31 11:41:22
60b4a17527636a1660fa7d81,12,27.1392,2021-05-31 11:42:29
60b4a18127636a1660fa7db4,12,27.1392,2021-05-31 11:42:41
60b4a1a10c3fdde9ebba1aeb,12,27.1392,2021-05-31 11:43:13
60b4a1b44ed620131c320b33,12,27.1392,2021-05-31 11:43:32
