Sensor No,Temp,Time
9,25.014572143554688,10:54:41
10,25.722801208496094,10:54:41
11,26.23081398010254,10:54:41
12,26.016868591308594,10:54:41
13,25.82145881652832,10:54:41
14,24.862831115722656,10:54:41
15,25.412918090820312,10:54:41
16,26.204612731933594,10:54:41
17,26.125259399414062,10:54:41
18,25.9768009185791,10:54:41
19,24.66508674621582,10:54:41
20,24.87986183166504,10:54:41
21,24.790382385253906,10:54:41
22,25.020641326904297,10:54:41
23,24.840402603149414,10:54:41
24,24.846599578857422,10:54:41
25,25.1129207611084,10:54:41
26,24.97582244873047,10:54:41
27,24.760164260864258,10:54:41
28,25.205646514892578,10:54:41
29,25.420047760009766,10:54:41
30,24.989755630493164,10:54:41
31,25.597518920898438,10:54:41
32,25.29189109802246,10:54:41
33,25.251184463500977,10:54:41
34,25.268835067749023,10:54:41
35,25.06587028503418,10:54:41
36,24.674036026000977,10:54:41
37,24.879150390625,10:54:41
38,24.935781478881836,10:54:41
39,25.3775634765625,10:54:41
40,24.4000301361084,10:54:41
41,24.449270248413086,10:54:41
42,23.96336555480957,10:54:41
43,23.332496643066406,10:54:41
44,23.024816513061523,10:54:41
45,23.698423385620117,10:54:41
46,23.580974578857422,10:54:41
47,23.780954360961914,10:54:41
48,22.984050750732422,10:54:41
49,23.504638671875,10:54:41
50,23.28423500061035,10:54:41
1,27.812213897705078,10:55:31
2,27.937223434448242,10:55:31
3,28.381534576416016,10:55:31
4,28.170427322387695,10:55:31
5,28.187185287475586,10:55:31
6,27.723896026611328,10:55:31
7,26.316492080688477,10:55:31
8,25.509033203125,10:55:31
9,25.014572143554688,10:55:31
10,25.722801208496094,10:55:31
11,26.23081398010254,10:55:31
12,26.016868591308594,10:55:31
13,25.82145881652832,10:55:31
14,24.862831115722656,10:55:31
15,25.515884399414062,10:55:31
16,26.204612731933594,10:55:31
17,26.125259399414062,10:55:31
18,25.9768009185791,10:55:31
19,24.66508674621582,10:55:31
20,24.87986183166504,10:55:31
21,24.790382385253906,10:55:31
22,25.020641326904297,10:55:31
23,24.840402603149414,10:55:31
24,24.846599578857422,10:55:31
25,25.1129207611084,10:55:31
26,24.97582244873047,10:55:31
27,24.760164260864258,10:55:31
28,25.205646514892578,10:55:31
29,25.420047760009766,10:55:31
30,24.989755630493164,10:55:31
31,25.597518920898438,10:55:31
32,25.29189109802246,10:55:31
33,25.251184463500977,10:55:31
34,25.268835067749023,10:55:31
35,25.06587028503418,10:55:31
36,24.674036026000977,10:55:31
37,24.879150390625,10:55:31
38,24.935781478881836,10:55:31
39,25.3775634765625,10:55:31
40,24.4000301361084,10:55:31
41,24.449270248413086,10:55:31
42,23.96336555480957,10:55:31
43,23.332496643066406,10:55:31
44,23.024816513061523,10:55:31
45,23.698423385620117,10:55:31
46,23.580974578857422,10:55:31
47,23.780954360961914,10:55:31
48,22.984050750732422,10:55:31
49,23.504638671875,10:55:31
50,23.28423500061035,10:55:31
1,27.812213897705078,10:55:57
2,27.937223434448242,10:55:57
3,28.381534576416016,10:55:57
4,28.170427322387695,10:55:57
5,28.187185287475586,10:55:57
6,27.723896026611328,10:55:57
7,26.316492080688477,10:55:57
8,25.509033203125,10:55:57
9,25.014572143554688,10:55:57
10,25.722801208496094,10:55:57
11,26.23081398010254,10:55:57
12,26.016868591308594,10:55:57
13,25.82145881652832,10:55:57
14,25.018220901489258,10:55:57
15,25.515884399414062,10:55:57
16,26.204612731933594,10:55:57
17,26.125259399414062,10:55:57
18,25.9768009185791,10:55:57
19,24.66508674621582,10:55:57
20,24.87986183166504,10:55:57
21,24.790382385253906,10:55:57
22,25.020641326904297,10:55:57
23,24.840402603149414,10:55:57
24,24.846599578857422,10:55:57
25,25.1129207611084,10:55:57
26,24.97582244873047,10:55:57
27,24.760164260864258,10:55:57
28,25.205646514892578,10:55:57
29,25.420047760009766,10:55:57
30,24.989755630493164,10:55:57
31,25.597518920898438,10:55:57
32,25.29189109802246,10:55:57
33,25.251184463500977,10:55:57
34,25.268835067749023,10:55:57
35,25.06587028503418,10:55:57
36,24.674036026000977,10:55:57
37,24.879150390625,10:55:57
38,24.935781478881836,10:55:57
39,25.3775634765625,10:55:57
40,24.4000301361084,10:55:57
41,24.449270248413086,10:55:57
42,23.96336555480957,10:55:57
43,23.332496643066406,10:55:57
44,23.024816513061523,10:55:57
45,23.698423385620117,10:55:57
46,23.580974578857422,10:55:57
47,23.780954360961914,10:55:57
48,22.984050750732422,10:55:57
49,23.504638671875,10:55:57
50,23.28423500061035,10:55:57
1,27.812213897705078,10:59:08
2,27.937223434448242,10:59:08
3,28.381534576416016,10:59:08
4,28.170427322387695,10:59:08
5,28.187185287475586,10:59:08
6,27.79474639892578,10:59:08
7,26.316492080688477,10:59:08
8,25.509033203125,10:59:08
9,25.014572143554688,10:59:08
10,25.722801208496094,10:59:08
11,26.23081398010254,10:59:08
12,26.016868591308594,10:59:08
13,25.870132446289062,10:59:08
14,25.018220901489258,10:59:08
15,25.515884399414062,10:59:08
16,26.204612731933594,10:59:08
17,26.125259399414062,10:59:08
18,25.9768009185791,10:59:08
19,24.66508674621582,10:59:08
20,24.975534439086914,10:59:08
21,24.790382385253906,10:59:08
22,25.020641326904297,10:59:08
23,24.840402603149414,10:59:08
24,24.846599578857422,10:59:08
25,25.1129207611084,10:59:08
26,24.97582244873047,10:59:08
27,24.760164260864258,10:59:08
28,25.205646514892578,10:59:08
29,25.420047760009766,10:59:08
30,24.989755630493164,10:59:08
31,25.597518920898438,10:59:08
32,25.29189109802246,10:59:08
33,25.251184463500977,10:59:08
34,25.268835067749023,10:59:08
35,25.06587028503418,10:59:08
36,24.674036026000977,10:59:08
37,24.879150390625,10:59:08
38,24.935781478881836,10:59:08
39,25.3775634765625,10:59:08
40,24.528846740722656,10:59:08
41,24.449270248413086,10:59:08
42,23.96336555480957,10:59:08
43,23.332496643066406,10:59:08
44,23.024816513061523,10:59:08
45,23.698423385620117,10:59:08
46,23.580974578857422,10:59:08
47,23.780954360961914,10:59:08
48,22.984050750732422,10:59:08
49,23.504638671875,10:59:08
50,23.28423500061035,10:59:08
1,27.812213897705078,10:59:29
2,27.937223434448242,10:59:29
3,28.381534576416016,10:59:29
4,28.170427322387695,10:59:29
5,28.187185287475586,10:59:29
6,27.79474639892578,10:59:29
7,26.316492080688477,10:59:29
8,25.509033203125,10:59:29
9,25.014572143554688,10:59:29
10,25.722801208496094,10:59:29
11,26.23081398010254,10:59:29
12,26.016868591308594,10:59:29
13,25.870132446289062,10:59:29
14,25.018220901489258,10:59:29
15,25.515884399414062,10:59:29
16,26.204612731933594,10:59:29
17,26.125259399414062,10:59:29
18,25.9768009185791,10:59:29
19,24.66508674621582,10:59:29
20,24.975534439086914,10:59:29
21,24.790382385253906,10:59:29
22,25.020641326904297,10:59:29
23,24.840402603149414,10:59:29
24,24.846599578857422,10:59:29
25,25.1129207611084,10:59:29
26,24.97582244873047,10:59:29
27,24.760164260864258,10:59:29
28,25.205646514892578,10:59:29
29,25.420047760009766,10:59:29
30,24.989755630493164,10:59:29
31,25.597518920898438,10:59:29
32,25.29189109802246,10:59:29
33,25.251184463500977,10:59:29
34,25.268835067749023,10:59:29
35,25.06587028503418,10:59:29
36,24.674036026000977,10:59:29
37,24.879150390625,10:59:29
38,24.935781478881836,10:59:29
39,25.3775634765625,10:59:29
40,24.528846740722656,10:59:29
41,24.449270248413086,10:59:29
42,23.96336555480957,10:59:29
43,23.332496643066406,10:59:29
44,23.024816513061523,10:59:29
45,23.698423385620117,10:59:29
46,23.580974578857422,10:59:29
47,23.780954360961914,10:59:29
48,22.984050750732422,10:59:29
49,23.504638671875,10:59:29
50,23.28423500061035,10:59:29
1,27.812213897705078,10:59:36
2,27.937223434448242,10:59:36
3,28.381534576416016,10:59:36
4,28.170427322387695,10:59:36
5,28.187185287475586,10:59:36
6,27.79474639892578,10:59:36
7,26.316492080688477,10:59:36
8,25.509033203125,10:59:36
9,25.014572143554688,10:59:36
10,25.722801208496094,10:59:36
11,26.23081398010254,10:59:36
12,26.016868591308594,10:59:36
13,25.870132446289062,10:59:36
14,25.018220901489258,10:59:36
15,25.515884399414062,10:59:36
16,26.204612731933594,10:59:36
17,26.125259399414062,10:59:36
18,25.9768009185791,10:59:36
19,24.66508674621582,10:59:36
20,24.975534439086914,10:59:36
21,24.790382385253906,10:59:36
22,25.020641326904297,10:59:36
23,24.840402603149414,10:59:36
24,24.846599578857422,10:59:36
25,25.1129207611084,10:59:36
26,24.97582244873047,10:59:36
27,24.760164260864258,10:59:36
28,25.205646514892578,10:59:36
29,25.420047760009766,10:59:36
30,24.989755630493164,10:59:36
31,25.597518920898438,10:59:36
32,25.29189109802246,10:59:36
33,25.251184463500977,10:59:36
34,25.268835067749023,10:59:36
35,25.06587028503418,10:59:36
36,24.674036026000977,10:59:36
37,24.879150390625,10:59:36
38,24.935781478881836,10:59:36
39,25.3775634765625,10:59:36
40,24.528846740722656,10:59:36
41,24.449270248413086,10:59:36
42,23.96336555480957,10:59:36
43,23.332496643066406,10:59:36
44,23.024816513061523,10:59:36
