"_id",Sensor No,Temp,Time
60a273d941f6590d31ccc4a6,1,28.5878,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4a7,2,28.5891,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4a8,3,28.97,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4a9,4,28.6319,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4aa,5,28.6024,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4ab,6,28.372,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4ac,7,27.3868,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4ad,8,25.6319,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4ae,9,24.9959,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4af,10,25.1905,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4b0,11,25.6753,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4b1,12,25.4629,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4b2,13,25.2494,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4b3,14,24.5442,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4b4,15,25.0413,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4b5,16,25.702,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4b6,17,25.6971,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4b7,18,25.5316,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4b8,19,24.3908,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4b9,20,24.6419,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4ba,21,24.5054,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4bb,22,24.7872,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4bc,23,24.5087,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4bd,24,24.5408,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4be,25,24.7499,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4bf,26,24.6535,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4c0,27,24.4353,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4c1,28,24.8959,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4c2,29,25.082,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4c3,30,24.6305,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4c4,31,25.3202,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4c5,32,24.9523,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4c6,33,24.9791,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4c7,34,24.9347,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4c8,35,24.6827,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4c9,36,24.2385,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4ca,37,24.5512,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4cb,38,24.6046,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4cc,39,25.0183,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4cd,40,24.079,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4ce,41,24.1756,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4cf,42,23.8524,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4d0,43,23.1685,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4d1,44,22.7659,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4d2,45,23.4558,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4d3,46,23.4257,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4d4,47,23.586,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4d5,48,22.7732,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4d6,49,23.324,"05/17/21, 16:47:05"
60a273d941f6590d31ccc4d7,50,23.0441,"05/17/21, 16:47:05"
60a275f142c65094363b4cc1,1,28.8025,"05/17/21, 16:56:01"
60a275f142c65094363b4cc2,2,28.5891,"05/17/21, 16:56:01"
60a275f142c65094363b4cc3,3,28.97,"05/17/21, 16:56:01"
60a275f142c65094363b4cc4,4,28.6319,"05/17/21, 16:56:01"
60a275f142c65094363b4cc5,5,28.8044,"05/17/21, 16:56:01"
60a275f142c65094363b4cc6,6,28.372,"05/17/21, 16:56:01"
60a275f142c65094363b4cc7,7,27.584,"05/17/21, 16:56:01"
60a275f142c65094363b4cc8,8,25.7081,"05/17/21, 16:56:01"
60a275f142c65094363b4cc9,9,24.9959,"05/17/21, 16:56:01"
60a275f142c65094363b4cca,10,25.1905,"05/17/21, 16:56:01"
60a275f142c65094363b4ccb,11,25.6753,"05/17/21, 16:56:01"
60a275f142c65094363b4ccc,12,25.563,"05/17/21, 16:56:01"
60a275f142c65094363b4ccd,13,25.2494,"05/17/21, 16:56:01"
60a275f142c65094363b4cce,14,24.5442,"05/17/21, 16:56:01"
60a275f142c65094363b4ccf,15,25.0413,"05/17/21, 16:56:01"
60a275f142c65094363b4cd0,16,25.702,"05/17/21, 16:56:01"
